method,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,normalized_progress_mean,normalized_progress_ci95,posterior_entropy_final_mean,posterior_entropy_final_ci95,posterior_entropy_mean_mean,posterior_entropy_mean_ci95,near_true_branch_mass_final_mean,near_true_branch_mass_final_ci95,near_true_branch_mass_mean_mean,near_true_branch_mass_mean_ci95,branch_prediction_error_mean_mean,branch_prediction_error_mean_ci95,fallback_activations_mean,fallback_activations_ci95
branch_counterfactual_mpc,160,0.3750,0.0753,0.1038,0.0083,0.7316,0.0221,0.7211,0.0217,0.7386,0.0208,0.2635,0.0294,0.2470,0.0266,0.0636,0.0026,0.0000,0.0000
branch_counterfactual_mpc_v5,160,0.3563,0.0744,0.1031,0.0092,0.7341,0.0241,0.7128,0.0212,0.7266,0.0201,0.2617,0.0296,0.2473,0.0269,0.0662,0.0028,1.1812,0.1400
mean_risk_instead_of_tail,160,0.3812,0.0755,0.0972,0.0084,0.7475,0.0224,0.7049,0.0222,0.7242,0.0209,0.2758,0.0323,0.2560,0.0285,0.0652,0.0027,1.1750,0.1439
no_branch_reweighting,160,0.4437,0.0772,0.0961,0.0090,0.7520,0.0236,1.0000,0.0000,1.0000,0.0000,0.1335,0.0122,0.1335,0.0122,0.0823,0.0039,2.0000,0.0000
no_conservative_fallback,160,0.4313,0.0770,0.0986,0.0086,0.7467,0.0223,0.7171,0.0198,0.7293,0.0198,0.2610,0.0290,0.2430,0.0258,0.0658,0.0030,0.0000,0.0000
no_diagnostic_push,160,0.4562,0.0774,0.0929,0.0081,0.7612,0.0207,0.7305,0.0210,0.7513,0.0196,0.2604,0.0294,0.2442,0.0266,0.0638,0.0025,1.3375,0.1389
no_information_gain_term,160,0.4125,0.0765,0.0938,0.0085,0.7584,0.0223,0.7239,0.0203,0.7432,0.0187,0.2594,0.0312,0.2438,0.0282,0.0628,0.0025,1.2875,0.1384
one_branch_only,160,0.3187,0.0724,0.1069,0.0086,0.7262,0.0221,,,,,,,,,,,0.0000,0.0000
reduced_branch_library,160,0.3812,0.0755,0.0975,0.0088,0.7509,0.0224,0.4692,0.0315,0.4857,0.0315,0.2995,0.0366,0.2902,0.0353,0.0663,0.0025,0.5437,0.1310
