stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6800,0.0089
0.0,conformal_risk_filter,0.7214,0.0131
0.0,proposed_branch_mechanism,0.7660,0.0141
0.0,oracle_branch_upper_bound,0.8152,0.0140
0.2,scalar_uncertainty_planner,0.6229,0.0077
0.2,conformal_risk_filter,0.6790,0.0143
0.2,proposed_branch_mechanism,0.7352,0.0106
0.2,oracle_branch_upper_bound,0.7945,0.0147
0.4,scalar_uncertainty_planner,0.5762,0.0080
0.4,conformal_risk_filter,0.6350,0.0193
0.4,proposed_branch_mechanism,0.7064,0.0122
0.4,oracle_branch_upper_bound,0.7721,0.0121
0.6,scalar_uncertainty_planner,0.5274,0.0095
0.6,conformal_risk_filter,0.5860,0.0194
0.6,proposed_branch_mechanism,0.6788,0.0110
0.6,oracle_branch_upper_bound,0.7526,0.0125
0.8,scalar_uncertainty_planner,0.4731,0.0097
0.8,conformal_risk_filter,0.5398,0.0174
0.8,proposed_branch_mechanism,0.6505,0.0078
0.8,oracle_branch_upper_bound,0.7288,0.0134
1.0,scalar_uncertainty_planner,0.4155,0.0102
1.0,conformal_risk_filter,0.4919,0.0168
1.0,proposed_branch_mechanism,0.6179,0.0106
1.0,oracle_branch_upper_bound,0.7102,0.0126
