split,method,seed,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,normalized_progress_mean,normalized_progress_ci95
combined_shift,branch_counterfactual_mpc,0,16,0.3125,0.2346,0.1121,0.0259,0.7073,0.0732
combined_shift,branch_counterfactual_mpc,1,16,0.1875,0.1975,0.1158,0.0202,0.7059,0.0534
combined_shift,branch_counterfactual_mpc,2,16,0.2500,0.2191,0.0945,0.0157,0.7497,0.0399
combined_shift,branch_counterfactual_mpc,3,16,0.5000,0.2530,0.0769,0.0269,0.7997,0.0719
combined_shift,branch_counterfactual_mpc,4,16,0.3125,0.2346,0.1038,0.0273,0.7315,0.0697
combined_shift,ensemble_mean_mpc,0,16,0.2500,0.2191,0.1152,0.0200,0.7083,0.0499
combined_shift,ensemble_mean_mpc,1,16,0.3125,0.2346,0.1040,0.0257,0.7349,0.0654
combined_shift,ensemble_mean_mpc,2,16,0.3750,0.2450,0.0920,0.0233,0.7511,0.0676
combined_shift,ensemble_mean_mpc,3,16,0.6250,0.2450,0.0713,0.0218,0.8094,0.0559
combined_shift,ensemble_mean_mpc,4,16,0.3750,0.2450,0.1078,0.0294,0.7122,0.0834
combined_shift,nominal_single_branch_mpc,0,16,0.1875,0.1975,0.1343,0.0326,0.6497,0.0872
combined_shift,nominal_single_branch_mpc,1,16,0.1875,0.1975,0.1180,0.0256,0.6987,0.0657
combined_shift,nominal_single_branch_mpc,2,16,0.2500,0.2191,0.1018,0.0219,0.7261,0.0659
combined_shift,nominal_single_branch_mpc,3,16,0.4375,0.2511,0.0901,0.0248,0.7624,0.0654
combined_shift,nominal_single_branch_mpc,4,16,0.1250,0.1674,0.1299,0.0225,0.6555,0.0602
combined_shift,oracle_hidden_params,0,16,0.1875,0.1975,0.1156,0.0256,0.7022,0.0710
combined_shift,oracle_hidden_params,1,16,0.2500,0.2191,0.1118,0.0284,0.7138,0.0733
combined_shift,oracle_hidden_params,2,16,0.3125,0.2346,0.0948,0.0168,0.7491,0.0464
combined_shift,oracle_hidden_params,3,16,0.2500,0.2191,0.1026,0.0249,0.7306,0.0625
combined_shift,oracle_hidden_params,4,16,0.5000,0.2530,0.0974,0.0305,0.7440,0.0788
combined_shift,random_push,0,16,0.0625,0.1225,0.1909,0.0609,0.5385,0.1192
combined_shift,random_push,1,16,0.0625,0.1225,0.2276,0.0587,0.4206,0.1460
combined_shift,random_push,2,16,0.1250,0.1674,0.1743,0.0490,0.5485,0.1170
combined_shift,random_push,3,16,0.1875,0.1975,0.1441,0.0297,0.6196,0.0796
combined_shift,random_push,4,16,0.0000,0.0000,0.1925,0.0202,0.4973,0.0521
combined_shift,robust_worst_case_mpc,0,16,0.2500,0.2191,0.1149,0.0301,0.6953,0.0863
combined_shift,robust_worst_case_mpc,1,16,0.1875,0.1975,0.1155,0.0225,0.7027,0.0610
combined_shift,robust_worst_case_mpc,2,16,0.4375,0.2511,0.0878,0.0293,0.7599,0.0889
combined_shift,robust_worst_case_mpc,3,16,0.2500,0.2191,0.0998,0.0216,0.7370,0.0545
combined_shift,robust_worst_case_mpc,4,16,0.5000,0.2530,0.0998,0.0322,0.7366,0.0858
heavy_object,branch_counterfactual_mpc,0,16,0.5625,0.2511,0.0726,0.0119,0.7767,0.0305
heavy_object,branch_counterfactual_mpc,1,16,0.6250,0.2450,0.0702,0.0173,0.7842,0.0516
heavy_object,branch_counterfactual_mpc,2,16,0.4375,0.2511,0.0719,0.0157,0.7677,0.0549
heavy_object,branch_counterfactual_mpc,3,16,0.6875,0.2346,0.0610,0.0140,0.8016,0.0479
heavy_object,branch_counterfactual_mpc,4,16,0.6250,0.2450,0.0613,0.0151,0.8028,0.0520
heavy_object,ensemble_mean_mpc,0,16,0.5625,0.2511,0.0726,0.0119,0.7767,0.0305
heavy_object,ensemble_mean_mpc,1,16,0.6250,0.2450,0.0702,0.0173,0.7842,0.0516
heavy_object,ensemble_mean_mpc,2,16,0.4375,0.2511,0.0719,0.0157,0.7677,0.0549
heavy_object,ensemble_mean_mpc,3,16,0.6875,0.2346,0.0610,0.0140,0.8016,0.0479
heavy_object,ensemble_mean_mpc,4,16,0.6250,0.2450,0.0588,0.0165,0.8103,0.0563
heavy_object,nominal_single_branch_mpc,0,16,0.4375,0.2511,0.0779,0.0188,0.7614,0.0521
heavy_object,nominal_single_branch_mpc,1,16,0.6250,0.2450,0.0671,0.0150,0.7934,0.0454
heavy_object,nominal_single_branch_mpc,2,16,0.4375,0.2511,0.0715,0.0214,0.7659,0.0723
heavy_object,nominal_single_branch_mpc,3,16,0.8125,0.1975,0.0503,0.0122,0.8366,0.0422
heavy_object,nominal_single_branch_mpc,4,16,0.5000,0.2530,0.0690,0.0219,0.7724,0.0785
heavy_object,oracle_hidden_params,0,16,0.6875,0.2346,0.0528,0.0144,0.8380,0.0420
heavy_object,oracle_hidden_params,1,16,0.8125,0.1975,0.0463,0.0130,0.8568,0.0390
heavy_object,oracle_hidden_params,2,16,0.8125,0.1975,0.0490,0.0124,0.8431,0.0373
heavy_object,oracle_hidden_params,3,16,0.9375,0.1225,0.0422,0.0088,0.8617,0.0335
heavy_object,oracle_hidden_params,4,16,0.8125,0.1975,0.0513,0.0133,0.8312,0.0497
heavy_object,random_push,0,16,0.0625,0.1225,0.1659,0.0320,0.4809,0.1078
heavy_object,random_push,1,16,0.1250,0.1674,0.1378,0.0287,0.5713,0.0950
