split,baseline,paired_episodes,success_delta_mean,success_delta_ci95,success_delta_bootstrap_low,success_delta_bootstrap_high,success_delta_signflip_p,distance_improvement_mean,distance_improvement_ci95,distance_improvement_bootstrap_low,distance_improvement_bootstrap_high,distance_improvement_signflip_p,progress_delta_mean,progress_delta_ci95,branch_wins_distance,branch_losses_distance
actuation_noise,random_push,160,0.3312,0.0846,0.2437,0.4188,0.0002,0.0662,0.0130,0.0531,0.0796,0.0002,0.2103,0.0423,127,32
actuation_noise,nominal_single_branch_mpc,160,0.0688,0.1128,-0.0500,0.1812,0.2764,0.0013,0.0105,-0.0092,0.0123,0.8095,0.0002,0.0343,80,80
actuation_noise,ensemble_mean_mpc,160,-0.0125,0.1099,-0.1187,0.1000,0.9065,-0.0027,0.0107,-0.0135,0.0076,0.6313,-0.0110,0.0345,77,83
actuation_noise,domain_randomized_mpc,160,0.0125,0.1057,-0.0938,0.1125,0.9080,0.0017,0.0107,-0.0088,0.0120,0.7498,0.0044,0.0345,78,82
actuation_noise,adaptive_id_mpc,160,0.0125,0.1028,-0.0875,0.1250,0.9083,-0.0009,0.0106,-0.0114,0.0105,0.8618,-0.0061,0.0347,81,79
actuation_noise,robust_worst_case_mpc,160,-0.0563,0.1075,-0.1625,0.0563,0.3492,0.0066,0.0131,-0.0066,0.0199,0.3342,0.0185,0.0417,83,77
actuation_noise,robust_mean_hybrid_mpc,160,0.0187,0.0975,-0.0750,0.1187,0.7996,0.0023,0.0103,-0.0081,0.0121,0.6543,0.0066,0.0344,86,74
actuation_noise,branch_counterfactual_mpc,160,-0.1000,0.1102,-0.2062,0.0187,0.0995,-0.0088,0.0107,-0.0197,0.0028,0.1095,-0.0337,0.0348,77,83
actuation_noise,oracle_hidden_params,160,0.0000,0.1028,-0.1000,0.1000,1.0000,-0.0043,0.0103,-0.0140,0.0055,0.4196,-0.0153,0.0335,81,79
adversarial_low_friction_heavy,random_push,160,0.0063,0.0122,0.0000,0.0187,1.0000,0.0880,0.0172,0.0723,0.1060,0.0002,0.2003,0.0349,129,31
adversarial_low_friction_heavy,nominal_single_branch_mpc,160,-0.0063,0.0213,-0.0312,0.0125,1.0000,0.0002,0.0061,-0.0057,0.0061,0.9315,0.0023,0.0161,78,82
adversarial_low_friction_heavy,ensemble_mean_mpc,160,0.0000,0.0174,-0.0187,0.0187,1.0000,-0.0026,0.0049,-0.0074,0.0022,0.2894,-0.0065,0.0130,76,84
adversarial_low_friction_heavy,domain_randomized_mpc,160,0.0000,0.0174,-0.0187,0.0187,1.0000,-0.0043,0.0051,-0.0093,0.0004,0.1002,-0.0102,0.0138,75,85
adversarial_low_friction_heavy,adaptive_id_mpc,160,-0.0187,0.0273,-0.0500,0.0063,0.3757,0.0000,0.0055,-0.0056,0.0057,0.9858,-0.0008,0.0146,75,85
adversarial_low_friction_heavy,robust_worst_case_mpc,160,-0.0375,0.0343,-0.0750,-0.0063,0.0770,-0.0051,0.0053,-0.0102,0.0001,0.0617,-0.0150,0.0140,77,83
adversarial_low_friction_heavy,robust_mean_hybrid_mpc,160,-0.0063,0.0213,-0.0250,0.0125,1.0000,-0.0015,0.0050,-0.0067,0.0035,0.5736,-0.0052,0.0133,80,79
adversarial_low_friction_heavy,branch_counterfactual_mpc,160,0.0063,0.0122,0.0000,0.0187,1.0000,-0.0062,0.0047,-0.0109,-0.0017,0.0105,-0.0170,0.0126,65,95
adversarial_low_friction_heavy,oracle_hidden_params,160,-0.0063,0.0213,-0.0250,0.0125,1.0000,-0.0031,0.0052,-0.0081,0.0021,0.2357,-0.0088,0.0137,67,93
combined_shift,random_push,160,0.2125,0.0822,0.1313,0.3000,0.0002,0.0666,0.0135,0.0529,0.0803,0.0002,0.1656,0.0326,123,37
combined_shift,nominal_single_branch_mpc,160,0.0875,0.0822,0.0063,0.1688,0.0570,0.0111,0.0097,0.0018,0.0209,0.0227,0.0306,0.0252,91,69
combined_shift,ensemble_mean_mpc,160,-0.0437,0.0803,-0.1250,0.0375,0.3604,-0.0065,0.0078,-0.0142,0.0011,0.1032,-0.0167,0.0202,71,89
combined_shift,domain_randomized_mpc,160,-0.0375,0.0849,-0.1250,0.0500,0.4716,-0.0054,0.0087,-0.0139,0.0033,0.2277,-0.0126,0.0229,70,90
combined_shift,adaptive_id_mpc,160,-0.0625,0.0828,-0.1437,0.0187,0.1762,-0.0075,0.0081,-0.0152,0.0006,0.0665,-0.0205,0.0207,64,96
combined_shift,robust_worst_case_mpc,160,-0.0125,0.0851,-0.1000,0.0750,0.8880,-0.0011,0.0083,-0.0093,0.0074,0.8003,-0.0026,0.0208,81,79
combined_shift,robust_mean_hybrid_mpc,160,-0.0750,0.0807,-0.1562,0.0063,0.0975,-0.0107,0.0077,-0.0187,-0.0031,0.0072,-0.0275,0.0203,66,93
combined_shift,branch_counterfactual_mpc,160,-0.0187,0.0860,-0.1062,0.0688,0.7693,0.0007,0.0084,-0.0075,0.0092,0.8745,0.0026,0.0218,72,88
combined_shift,oracle_hidden_params,160,-0.0125,0.0903,-0.1062,0.0750,0.8915,-0.0025,0.0086,-0.0114,0.0060,0.5649,-0.0054,0.0222,79,81
contact_offset,random_push,160,0.0000,0.0952,-0.0938,0.0938,1.0000,-0.0017,0.0139,-0.0156,0.0119,0.8153,-0.0058,0.0439,78,82
contact_offset,nominal_single_branch_mpc,160,-0.0312,0.0910,-0.1250,0.0625,0.5906,-0.0031,0.0134,-0.0160,0.0097,0.6548,-0.0077,0.0412,73,87
contact_offset,ensemble_mean_mpc,160,0.0187,0.0911,-0.0688,0.1125,0.7971,0.0046,0.0137,-0.0086,0.0182,0.5161,0.0132,0.0431,82,78
contact_offset,domain_randomized_mpc,160,-0.0375,0.0918,-0.1250,0.0563,0.5079,-0.0083,0.0127,-0.0210,0.0046,0.1990,-0.0235,0.0394,78,82
contact_offset,adaptive_id_mpc,160,0.0375,0.0934,-0.0500,0.1375,0.5224,0.0091,0.0140,-0.0051,0.0233,0.1985,0.0292,0.0441,86,74
contact_offset,robust_worst_case_mpc,160,-0.0063,0.0944,-0.1062,0.0875,1.0000,-0.0010,0.0146,-0.0156,0.0141,0.8908,-0.0050,0.0448,75,85
