variant,split,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_calibration_error,seeds,episodes_per_seed
observed_only_behavior_clone,nominal,0.5936,0.0104,0.4064,0.0104,0.0163,7,600
observed_only_behavior_clone,hidden_mode_shift,0.4160,0.0192,0.5840,0.0192,0.0186,7,600
observed_only_behavior_clone,embodiment_shift,0.4421,0.0142,0.5579,0.0142,0.0176,7,600
observed_only_behavior_clone,combined_stress,0.3379,0.0079,0.6621,0.0079,0.0112,7,600
data_augmentation_wam,nominal,0.6381,0.0120,0.3619,0.0120,0.0132,7,600
data_augmentation_wam,hidden_mode_shift,0.5007,0.0160,0.4993,0.0160,0.0210,7,600
data_augmentation_wam,embodiment_shift,0.5338,0.0101,0.4662,0.0101,0.0123,7,600
data_augmentation_wam,combined_stress,0.4281,0.0117,0.5719,0.0117,0.0097,7,600
scalar_uncertainty_planner,nominal,0.6795,0.0108,0.3205,0.0108,0.0099,7,600
scalar_uncertainty_planner,hidden_mode_shift,0.5524,0.0174,0.4476,0.0174,0.0173,7,600
scalar_uncertainty_planner,embodiment_shift,0.5967,0.0130,0.4033,0.0130,0.0161,7,600
scalar_uncertainty_planner,combined_stress,0.4898,0.0175,0.5102,0.0175,0.0183,7,600
ensemble_disagreement_planner,nominal,0.7045,0.0173,0.2955,0.0173,0.0165,7,600
ensemble_disagreement_planner,hidden_mode_shift,0.6009,0.0181,0.3991,0.0181,0.0207,7,600
ensemble_disagreement_planner,embodiment_shift,0.6202,0.0079,0.3798,0.0079,0.0115,7,600
ensemble_disagreement_planner,combined_stress,0.5578,0.0173,0.4422,0.0173,0.0216,7,600
conformal_risk_filter,nominal,0.7152,0.0081,0.2848,0.0081,0.0086,7,600
conformal_risk_filter,hidden_mode_shift,0.6236,0.0190,0.3764,0.0190,0.0212,7,600
conformal_risk_filter,embodiment_shift,0.6462,0.0126,0.3538,0.0126,0.0164,7,600
conformal_risk_filter,combined_stress,0.5802,0.0133,0.4198,0.0133,0.0154,7,600
proposed_branch_mechanism,nominal,0.7571,0.0101,0.2429,0.0101,0.0151,7,600
proposed_branch_mechanism,hidden_mode_shift,0.7086,0.0158,0.2914,0.0158,0.0185,7,600
proposed_branch_mechanism,embodiment_shift,0.7064,0.0139,0.2936,0.0139,0.0156,7,600
proposed_branch_mechanism,combined_stress,0.6743,0.0225,0.3257,0.0225,0.0222,7,600
oracle_branch_upper_bound,nominal,0.8088,0.0061,0.1912,0.0061,0.0110,7,600
oracle_branch_upper_bound,hidden_mode_shift,0.7757,0.0238,0.2243,0.0238,0.0218,7,600
oracle_branch_upper_bound,embodiment_shift,0.7743,0.0139,0.2257,0.0139,0.0110,7,600
oracle_branch_upper_bound,combined_stress,0.7493,0.0233,0.2507,0.0233,0.0217,7,600
