split,method,seed,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,normalized_progress_mean,normalized_progress_ci95,posterior_entropy_final_mean,posterior_entropy_final_ci95,posterior_entropy_mean_mean,posterior_entropy_mean_ci95,near_true_branch_mass_final_mean,near_true_branch_mass_final_ci95,near_true_branch_mass_mean_mean,near_true_branch_mass_mean_ci95,branch_prediction_error_mean_mean,branch_prediction_error_mean_ci95,fallback_activations_mean,fallback_activations_ci95
actuation_noise,robust_worst_case_mpc,0,20,0.5000,0.2248,0.0766,0.0205,0.7476,0.0627,,,,,,,,,,,0.0000,0.0000
actuation_noise,robust_worst_case_mpc,1,20,0.4500,0.2237,0.1150,0.0319,0.6359,0.1015,,,,,,,,,,,0.0000,0.0000
actuation_noise,robust_worst_case_mpc,2,20,0.4000,0.2203,0.1000,0.0251,0.6728,0.0871,,,,,,,,,,,0.0000,0.0000
actuation_noise,robust_worst_case_mpc,3,20,0.4000,0.2203,0.1176,0.0367,0.6211,0.1226,,,,,,,,,,,0.0000,0.0000
actuation_noise,robust_worst_case_mpc,4,20,0.6500,0.2145,0.0706,0.0255,0.7865,0.0703,,,,,,,,,,,0.0000,0.0000
actuation_noise,robust_worst_case_mpc,5,20,0.4500,0.2237,0.1042,0.0285,0.6622,0.0891,,,,,,,,,,,0.0000,0.0000
actuation_noise,robust_worst_case_mpc,6,20,0.5000,0.2248,0.0870,0.0279,0.7379,0.0790,,,,,,,,,,,0.0000,0.0000
actuation_noise,robust_worst_case_mpc,7,20,0.6500,0.2145,0.0805,0.0267,0.7464,0.0797,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,adaptive_id_mpc,0,20,0.0500,0.0980,0.1499,0.0161,0.6074,0.0446,0.5610,0.0483,0.6277,0.0510,0.3174,0.0968,0.2659,0.0748,0.0768,0.0090,0.0000,0.0000
adversarial_low_friction_heavy,adaptive_id_mpc,1,20,0.1000,0.1349,0.1522,0.0201,0.5857,0.0507,0.5587,0.0386,0.6194,0.0469,0.3334,0.0908,0.3009,0.0725,0.0811,0.0084,0.0000,0.0000
adversarial_low_friction_heavy,adaptive_id_mpc,2,20,0.0000,0.0000,0.1674,0.0144,0.5528,0.0368,0.5383,0.0363,0.5980,0.0394,0.3193,0.0634,0.2665,0.0468,0.0846,0.0095,0.0000,0.0000
adversarial_low_friction_heavy,adaptive_id_mpc,3,20,0.0000,0.0000,0.1560,0.0135,0.5859,0.0399,0.5821,0.0375,0.6314,0.0372,0.2794,0.0804,0.2480,0.0651,0.0748,0.0052,0.0000,0.0000
adversarial_low_friction_heavy,adaptive_id_mpc,4,20,0.0000,0.0000,0.1763,0.0132,0.5382,0.0290,0.5581,0.0437,0.6062,0.0430,0.3089,0.0853,0.2786,0.0673,0.0781,0.0074,0.0000,0.0000
adversarial_low_friction_heavy,adaptive_id_mpc,5,20,0.0000,0.0000,0.1662,0.0138,0.5572,0.0413,0.5802,0.0270,0.6249,0.0287,0.3619,0.0614,0.3348,0.0600,0.0750,0.0071,0.0000,0.0000
adversarial_low_friction_heavy,adaptive_id_mpc,6,20,0.0000,0.0000,0.1546,0.0109,0.5576,0.0394,0.5965,0.0533,0.6620,0.0552,0.2982,0.0765,0.2712,0.0606,0.0770,0.0083,0.0000,0.0000
adversarial_low_friction_heavy,adaptive_id_mpc,7,20,0.0500,0.0980,0.1663,0.0134,0.5628,0.0401,0.5335,0.0367,0.5911,0.0455,0.3071,0.0910,0.2690,0.0698,0.0851,0.0079,0.0000,0.0000
adversarial_low_friction_heavy,branch_counterfactual_mpc,0,20,0.0000,0.0000,0.1426,0.0130,0.6281,0.0316,0.5695,0.0392,0.6494,0.0475,0.2790,0.0734,0.2448,0.0552,0.0749,0.0085,0.0000,0.0000
adversarial_low_friction_heavy,branch_counterfactual_mpc,1,20,0.0000,0.0000,0.1487,0.0167,0.5927,0.0474,0.5510,0.0394,0.6142,0.0453,0.3071,0.0995,0.2798,0.0842,0.0771,0.0076,0.0000,0.0000
adversarial_low_friction_heavy,branch_counterfactual_mpc,2,20,0.0000,0.0000,0.1594,0.0131,0.5748,0.0334,0.5310,0.0382,0.6094,0.0437,0.3325,0.0816,0.2801,0.0623,0.0815,0.0097,0.0000,0.0000
adversarial_low_friction_heavy,branch_counterfactual_mpc,3,20,0.0000,0.0000,0.1498,0.0130,0.6012,0.0392,0.5290,0.0358,0.5958,0.0440,0.2532,0.0793,0.2214,0.0592,0.0793,0.0076,0.0000,0.0000
adversarial_low_friction_heavy,branch_counterfactual_mpc,4,20,0.0000,0.0000,0.1689,0.0114,0.5549,0.0328,0.5626,0.0402,0.6107,0.0424,0.3282,0.0867,0.2872,0.0676,0.0773,0.0074,0.0000,0.0000
adversarial_low_friction_heavy,branch_counterfactual_mpc,5,20,0.0000,0.0000,0.1588,0.0130,0.5775,0.0381,0.5665,0.0394,0.6183,0.0399,0.3489,0.0798,0.3152,0.0714,0.0733,0.0056,0.0000,0.0000
adversarial_low_friction_heavy,branch_counterfactual_mpc,6,20,0.0000,0.0000,0.1508,0.0086,0.5686,0.0345,0.5645,0.0339,0.6377,0.0397,0.3570,0.0796,0.3039,0.0628,0.0740,0.0068,0.0000,0.0000
adversarial_low_friction_heavy,branch_counterfactual_mpc,7,20,0.0000,0.0000,0.1598,0.0146,0.5792,0.0445,0.5301,0.0410,0.5918,0.0456,0.3459,0.0976,0.2991,0.0780,0.0872,0.0082,0.0000,0.0000
adversarial_low_friction_heavy,branch_counterfactual_mpc_v5,0,20,0.0000,0.0000,0.1587,0.0160,0.5837,0.0447,0.5823,0.0538,0.6222,0.0550,0.2609,0.0816,0.2281,0.0591,0.0837,0.0101,0.6500,0.3835
adversarial_low_friction_heavy,branch_counterfactual_mpc_v5,1,20,0.0000,0.0000,0.1639,0.0129,0.5526,0.0306,0.5687,0.0441,0.6289,0.0467,0.3686,0.0761,0.3031,0.0586,0.0814,0.0078,0.6000,0.3304
adversarial_low_friction_heavy,branch_counterfactual_mpc_v5,2,20,0.0500,0.0980,0.1580,0.0165,0.5728,0.0508,0.5277,0.0423,0.6042,0.0463,0.3753,0.0979,0.3194,0.0722,0.0802,0.0096,0.5500,0.2651
adversarial_low_friction_heavy,branch_counterfactual_mpc_v5,3,20,0.0000,0.0000,0.1613,0.0133,0.5716,0.0367,0.5564,0.0315,0.6076,0.0304,0.2542,0.0551,0.2163,0.0413,0.0767,0.0066,0.4500,0.2651
adversarial_low_friction_heavy,branch_counterfactual_mpc_v5,4,20,0.0000,0.0000,0.1640,0.0158,0.5673,0.0466,0.5472,0.0336,0.6046,0.0479,0.2814,0.0782,0.2645,0.0710,0.0809,0.0100,0.5000,0.3016
adversarial_low_friction_heavy,branch_counterfactual_mpc_v5,5,20,0.0000,0.0000,0.1593,0.0111,0.5744,0.0378,0.5719,0.0270,0.6238,0.0333,0.3269,0.0627,0.2881,0.0514,0.0776,0.0073,0.6000,0.3304
adversarial_low_friction_heavy,branch_counterfactual_mpc_v5,6,20,0.0000,0.0000,0.1549,0.0118,0.5619,0.0295,0.5718,0.0293,0.6440,0.0375,0.3500,0.0777,0.3073,0.0628,0.0734,0.0070,0.7000,0.3211
adversarial_low_friction_heavy,branch_counterfactual_mpc_v5,7,20,0.0000,0.0000,0.1684,0.0109,0.5570,0.0352,0.5505,0.0459,0.5969,0.0426,0.3234,0.0810,0.2900,0.0623,0.0843,0.0068,0.3000,0.2504
adversarial_low_friction_heavy,domain_randomized_mpc,0,20,0.0000,0.0000,0.1608,0.0119,0.5784,0.0309,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,domain_randomized_mpc,1,20,0.0000,0.0000,0.1504,0.0182,0.5815,0.0598,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,domain_randomized_mpc,2,20,0.0000,0.0000,0.1593,0.0132,0.5730,0.0389,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,domain_randomized_mpc,3,20,0.0000,0.0000,0.1504,0.0142,0.5994,0.0414,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,domain_randomized_mpc,4,20,0.0000,0.0000,0.1632,0.0116,0.5655,0.0448,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,domain_randomized_mpc,5,20,0.0000,0.0000,0.1503,0.0122,0.6018,0.0322,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,domain_randomized_mpc,6,20,0.0500,0.0980,0.1562,0.0141,0.5554,0.0447,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,domain_randomized_mpc,7,20,0.0000,0.0000,0.1635,0.0106,0.5679,0.0384,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,ensemble_mean_mpc,0,20,0.0000,0.0000,0.1441,0.0150,0.6193,0.0467,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,ensemble_mean_mpc,1,20,0.0500,0.0980,0.1626,0.0169,0.5544,0.0474,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,ensemble_mean_mpc,2,20,0.0000,0.0000,0.1614,0.0082,0.5673,0.0283,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,ensemble_mean_mpc,3,20,0.0000,0.0000,0.1567,0.0117,0.5836,0.0364,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,ensemble_mean_mpc,4,20,0.0000,0.0000,0.1670,0.0125,0.5556,0.0474,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,ensemble_mean_mpc,5,20,0.0000,0.0000,0.1560,0.0132,0.5841,0.0406,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,ensemble_mean_mpc,6,20,0.0000,0.0000,0.1527,0.0138,0.5684,0.0342,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,ensemble_mean_mpc,7,20,0.0000,0.0000,0.1671,0.0104,0.5605,0.0335,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,nominal_single_branch_mpc,0,20,0.0000,0.0000,0.1455,0.0084,0.6168,0.0288,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,nominal_single_branch_mpc,1,20,0.0500,0.0980,0.1591,0.0195,0.5578,0.0643,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,nominal_single_branch_mpc,2,20,0.0000,0.0000,0.1575,0.0119,0.5774,0.0355,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,nominal_single_branch_mpc,3,20,0.0000,0.0000,0.1570,0.0130,0.5820,0.0401,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,nominal_single_branch_mpc,4,20,0.0000,0.0000,0.1604,0.0115,0.5739,0.0398,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,nominal_single_branch_mpc,5,20,0.0000,0.0000,0.1749,0.0132,0.5375,0.0302,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,nominal_single_branch_mpc,6,20,0.0500,0.0980,0.1693,0.0176,0.5185,0.0543,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,nominal_single_branch_mpc,7,20,0.0000,0.0000,0.1667,0.0144,0.5588,0.0497,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,oracle_hidden_params,0,20,0.0000,0.0000,0.1496,0.0125,0.6086,0.0335,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,oracle_hidden_params,1,20,0.0000,0.0000,0.1480,0.0147,0.5928,0.0447,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,oracle_hidden_params,2,20,0.0000,0.0000,0.1682,0.0119,0.5516,0.0285,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,oracle_hidden_params,3,20,0.0500,0.0980,0.1498,0.0163,0.6012,0.0478,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,oracle_hidden_params,4,20,0.0000,0.0000,0.1685,0.0124,0.5535,0.0402,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,oracle_hidden_params,5,20,0.0000,0.0000,0.1642,0.0131,0.5597,0.0459,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,oracle_hidden_params,6,20,0.0500,0.0980,0.1538,0.0163,0.5667,0.0418,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,oracle_hidden_params,7,20,0.0000,0.0000,0.1618,0.0111,0.5773,0.0283,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,random_push,0,20,0.0000,0.0000,0.2566,0.0543,0.3584,0.1175,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,random_push,1,20,0.0000,0.0000,0.2630,0.0498,0.3144,0.0946,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,random_push,2,20,0.0000,0.0000,0.2468,0.0582,0.3877,0.1105,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,random_push,3,20,0.0000,0.0000,0.2609,0.0481,0.3369,0.1097,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,random_push,4,20,0.0000,0.0000,0.2427,0.0436,0.3922,0.0990,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,random_push,5,20,0.0000,0.0000,0.2622,0.0469,0.3410,0.0978,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,random_push,6,20,0.0000,0.0000,0.1825,0.0273,0.4721,0.0940,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,random_push,7,20,0.0000,0.0000,0.2775,0.0617,0.3359,0.1011,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,robust_mean_hybrid_mpc,0,20,0.0000,0.0000,0.1579,0.0149,0.5868,0.0405,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,robust_mean_hybrid_mpc,1,20,0.0500,0.0980,0.1624,0.0181,0.5530,0.0516,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,robust_mean_hybrid_mpc,2,20,0.0000,0.0000,0.1612,0.0116,0.5690,0.0337,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,robust_mean_hybrid_mpc,3,20,0.0000,0.0000,0.1520,0.0121,0.5974,0.0329,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,robust_mean_hybrid_mpc,4,20,0.0000,0.0000,0.1643,0.0118,0.5664,0.0340,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,robust_mean_hybrid_mpc,5,20,0.0000,0.0000,0.1636,0.0140,0.5691,0.0304,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,robust_mean_hybrid_mpc,6,20,0.0500,0.0980,0.1491,0.0182,0.5784,0.0505,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,robust_mean_hybrid_mpc,7,20,0.0000,0.0000,0.1661,0.0131,0.5627,0.0386,,,,,,,,,,,0.0000,0.0000
