split,method,seed,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,normalized_progress_mean,normalized_progress_ci95,posterior_entropy_final_mean,posterior_entropy_final_ci95,posterior_entropy_mean_mean,posterior_entropy_mean_ci95,near_true_branch_mass_final_mean,near_true_branch_mass_final_ci95,near_true_branch_mass_mean_mean,near_true_branch_mass_mean_ci95,branch_prediction_error_mean_mean,branch_prediction_error_mean_ci95,fallback_activations_mean,fallback_activations_ci95
actuation_noise,adaptive_id_mpc,0,20,0.6000,0.2203,0.0819,0.0208,0.7309,0.0615,0.8604,0.0291,0.8716,0.0325,0.3252,0.0367,0.3149,0.0324,0.0494,0.0066,0.0000,0.0000
actuation_noise,adaptive_id_mpc,1,20,0.5000,0.2248,0.0941,0.0243,0.7043,0.0787,0.8334,0.0334,0.8384,0.0426,0.3718,0.0398,0.3679,0.0371,0.0524,0.0076,0.0000,0.0000
actuation_noise,adaptive_id_mpc,2,20,0.2500,0.1947,0.1032,0.0194,0.6703,0.0695,0.8121,0.0349,0.8225,0.0368,0.3567,0.0392,0.3562,0.0382,0.0579,0.0062,0.0000,0.0000
actuation_noise,adaptive_id_mpc,3,20,0.6500,0.2145,0.0682,0.0211,0.7876,0.0674,0.8348,0.0253,0.8435,0.0457,0.3567,0.0408,0.3614,0.0352,0.0557,0.0088,0.0000,0.0000
actuation_noise,adaptive_id_mpc,4,20,0.3500,0.2145,0.0913,0.0202,0.7117,0.0683,0.8303,0.0196,0.8511,0.0241,0.3672,0.0302,0.3608,0.0284,0.0543,0.0059,0.0000,0.0000
actuation_noise,adaptive_id_mpc,5,20,0.3000,0.2061,0.0869,0.0174,0.7144,0.0604,0.7808,0.0520,0.7837,0.0683,0.3720,0.0392,0.3688,0.0418,0.0549,0.0079,0.0000,0.0000
actuation_noise,adaptive_id_mpc,6,20,0.3000,0.2061,0.0908,0.0217,0.7290,0.0628,0.7894,0.0407,0.7937,0.0527,0.3871,0.0397,0.3822,0.0390,0.0600,0.0074,0.0000,0.0000
actuation_noise,adaptive_id_mpc,7,20,0.5000,0.2248,0.0754,0.0150,0.7585,0.0483,0.8321,0.0372,0.8622,0.0332,0.3647,0.0367,0.3593,0.0308,0.0509,0.0061,0.0000,0.0000
actuation_noise,branch_counterfactual_mpc,0,20,0.5000,0.2248,0.0860,0.0217,0.7135,0.0709,0.8497,0.0300,0.8607,0.0343,0.3310,0.0300,0.3291,0.0294,0.0486,0.0062,0.0000,0.0000
actuation_noise,branch_counterfactual_mpc,1,20,0.4500,0.2237,0.0819,0.0171,0.7436,0.0528,0.7915,0.0517,0.8008,0.0654,0.3764,0.0472,0.3682,0.0470,0.0570,0.0091,0.0000,0.0000
actuation_noise,branch_counterfactual_mpc,2,20,0.5000,0.2248,0.0786,0.0133,0.7531,0.0391,0.8012,0.0405,0.8059,0.0520,0.3711,0.0498,0.3583,0.0490,0.0555,0.0082,0.0000,0.0000
actuation_noise,branch_counterfactual_mpc,3,20,0.7000,0.2061,0.0714,0.0172,0.7778,0.0560,0.8374,0.0353,0.8449,0.0439,0.3589,0.0382,0.3627,0.0364,0.0491,0.0052,0.0000,0.0000
actuation_noise,branch_counterfactual_mpc,4,20,0.5000,0.2248,0.0887,0.0251,0.7277,0.0758,0.8223,0.0263,0.8519,0.0306,0.3320,0.0194,0.3353,0.0169,0.0520,0.0045,0.0000,0.0000
actuation_noise,branch_counterfactual_mpc,5,20,0.4500,0.2237,0.0872,0.0233,0.7242,0.0706,0.8022,0.0569,0.8184,0.0656,0.3735,0.0411,0.3827,0.0406,0.0571,0.0084,0.0000,0.0000
actuation_noise,branch_counterfactual_mpc,6,20,0.5000,0.2248,0.0819,0.0220,0.7531,0.0624,0.8194,0.0238,0.8272,0.0284,0.3780,0.0326,0.3669,0.0316,0.0578,0.0047,0.0000,0.0000
actuation_noise,branch_counterfactual_mpc,7,20,0.7500,0.1947,0.0529,0.0143,0.8350,0.0420,0.8485,0.0148,0.8698,0.0150,0.3527,0.0314,0.3469,0.0307,0.0471,0.0039,0.0000,0.0000
actuation_noise,branch_counterfactual_mpc_v5,0,20,0.3000,0.2061,0.1067,0.0296,0.6340,0.1085,0.8313,0.0353,0.8388,0.0443,0.3352,0.0419,0.3324,0.0383,0.0567,0.0093,1.8500,0.2145
actuation_noise,branch_counterfactual_mpc_v5,1,20,0.6000,0.2203,0.0709,0.0222,0.7758,0.0735,0.8278,0.0260,0.8245,0.0287,0.3574,0.0477,0.3609,0.0480,0.0626,0.0107,1.8000,0.2293
actuation_noise,branch_counterfactual_mpc_v5,2,20,0.4500,0.2237,0.0867,0.0213,0.7209,0.0720,0.8005,0.0497,0.7999,0.0588,0.3990,0.0451,0.3976,0.0430,0.0621,0.0090,1.6500,0.2940
actuation_noise,branch_counterfactual_mpc_v5,3,20,0.3500,0.2145,0.0884,0.0203,0.7276,0.0610,0.8270,0.0470,0.8251,0.0532,0.3525,0.0436,0.3564,0.0430,0.0589,0.0110,1.8000,0.2293
actuation_noise,branch_counterfactual_mpc_v5,4,20,0.4500,0.2237,0.0855,0.0248,0.7316,0.0806,0.8127,0.0340,0.8242,0.0371,0.3887,0.0251,0.3792,0.0252,0.0563,0.0084,1.8500,0.2145
actuation_noise,branch_counterfactual_mpc_v5,5,20,0.4500,0.2237,0.0823,0.0193,0.7261,0.0723,0.8119,0.0418,0.8142,0.0459,0.3681,0.0362,0.3578,0.0370,0.0559,0.0055,1.7500,0.2799
actuation_noise,branch_counterfactual_mpc_v5,6,20,0.3500,0.2145,0.1038,0.0259,0.6808,0.0807,0.8110,0.0273,0.8152,0.0299,0.3183,0.0396,0.3228,0.0407,0.0609,0.0077,1.6500,0.3266
actuation_noise,branch_counterfactual_mpc_v5,7,20,0.6000,0.2203,0.0747,0.0200,0.7614,0.0631,0.8285,0.0180,0.8503,0.0208,0.3774,0.0384,0.3650,0.0364,0.0548,0.0054,1.9500,0.0980
actuation_noise,domain_randomized_mpc,0,20,0.4500,0.2237,0.0855,0.0232,0.7169,0.0736,,,,,,,,,,,0.0000,0.0000
actuation_noise,domain_randomized_mpc,1,20,0.5500,0.2237,0.0756,0.0172,0.7619,0.0554,,,,,,,,,,,0.0000,0.0000
actuation_noise,domain_randomized_mpc,2,20,0.5000,0.2248,0.0786,0.0174,0.7455,0.0594,,,,,,,,,,,0.0000,0.0000
actuation_noise,domain_randomized_mpc,3,20,0.4500,0.2237,0.0910,0.0258,0.7138,0.0921,,,,,,,,,,,0.0000,0.0000
actuation_noise,domain_randomized_mpc,4,20,0.4000,0.2203,0.0905,0.0188,0.7123,0.0626,,,,,,,,,,,0.0000,0.0000
actuation_noise,domain_randomized_mpc,5,20,0.3000,0.2061,0.1087,0.0269,0.6430,0.0910,,,,,,,,,,,0.0000,0.0000
actuation_noise,domain_randomized_mpc,6,20,0.4000,0.2203,0.0901,0.0191,0.7251,0.0604,,,,,,,,,,,0.0000,0.0000
actuation_noise,domain_randomized_mpc,7,20,0.4000,0.2203,0.0925,0.0185,0.7046,0.0586,,,,,,,,,,,0.0000,0.0000
actuation_noise,ensemble_mean_mpc,0,20,0.3000,0.2061,0.0953,0.0244,0.6774,0.0854,,,,,,,,,,,0.0000,0.0000
actuation_noise,ensemble_mean_mpc,1,20,0.4000,0.2203,0.0855,0.0222,0.7358,0.0641,,,,,,,,,,,0.0000,0.0000
actuation_noise,ensemble_mean_mpc,2,20,0.5000,0.2248,0.0834,0.0202,0.7377,0.0651,,,,,,,,,,,0.0000,0.0000
actuation_noise,ensemble_mean_mpc,3,20,0.5000,0.2248,0.0782,0.0162,0.7568,0.0525,,,,,,,,,,,0.0000,0.0000
actuation_noise,ensemble_mean_mpc,4,20,0.6500,0.2145,0.0733,0.0198,0.7714,0.0601,,,,,,,,,,,0.0000,0.0000
actuation_noise,ensemble_mean_mpc,5,20,0.3500,0.2145,0.0899,0.0189,0.7042,0.0667,,,,,,,,,,,0.0000,0.0000
actuation_noise,ensemble_mean_mpc,6,20,0.5000,0.2248,0.0819,0.0212,0.7520,0.0656,,,,,,,,,,,0.0000,0.0000
actuation_noise,ensemble_mean_mpc,7,20,0.4500,0.2237,0.0903,0.0204,0.7113,0.0652,,,,,,,,,,,0.0000,0.0000
actuation_noise,nominal_single_branch_mpc,0,20,0.2500,0.1947,0.1001,0.0214,0.6651,0.0713,,,,,,,,,,,0.0000,0.0000
actuation_noise,nominal_single_branch_mpc,1,20,0.1500,0.1606,0.0967,0.0174,0.6954,0.0567,,,,,,,,,,,0.0000,0.0000
actuation_noise,nominal_single_branch_mpc,2,20,0.6500,0.2145,0.0606,0.0205,0.8122,0.0621,,,,,,,,,,,0.0000,0.0000
actuation_noise,nominal_single_branch_mpc,3,20,0.4500,0.2237,0.0793,0.0154,0.7555,0.0469,,,,,,,,,,,0.0000,0.0000
actuation_noise,nominal_single_branch_mpc,4,20,0.2000,0.1799,0.1042,0.0197,0.6762,0.0635,,,,,,,,,,,0.0000,0.0000
actuation_noise,nominal_single_branch_mpc,5,20,0.5000,0.2248,0.0822,0.0234,0.7347,0.0790,,,,,,,,,,,0.0000,0.0000
actuation_noise,nominal_single_branch_mpc,6,20,0.4000,0.2203,0.0987,0.0254,0.6889,0.0887,,,,,,,,,,,0.0000,0.0000
actuation_noise,nominal_single_branch_mpc,7,20,0.4000,0.2203,0.0876,0.0190,0.7285,0.0546,,,,,,,,,,,0.0000,0.0000
actuation_noise,oracle_hidden_params,0,20,0.5000,0.2248,0.0762,0.0164,0.7377,0.0586,,,,,,,,,,,0.0000,0.0000
actuation_noise,oracle_hidden_params,1,20,0.5500,0.2237,0.0828,0.0238,0.7383,0.0810,,,,,,,,,,,0.0000,0.0000
actuation_noise,oracle_hidden_params,2,20,0.5000,0.2248,0.0839,0.0243,0.7306,0.0809,,,,,,,,,,,0.0000,0.0000
actuation_noise,oracle_hidden_params,3,20,0.4000,0.2203,0.0888,0.0224,0.7313,0.0622,,,,,,,,,,,0.0000,0.0000
actuation_noise,oracle_hidden_params,4,20,0.3500,0.2145,0.0870,0.0164,0.7289,0.0506,,,,,,,,,,,0.0000,0.0000
actuation_noise,oracle_hidden_params,5,20,0.3000,0.2061,0.0832,0.0182,0.7284,0.0631,,,,,,,,,,,0.0000,0.0000
actuation_noise,oracle_hidden_params,6,20,0.5000,0.2248,0.0719,0.0172,0.7788,0.0549,,,,,,,,,,,0.0000,0.0000
actuation_noise,oracle_hidden_params,7,20,0.4500,0.2237,0.0913,0.0202,0.7063,0.0692,,,,,,,,,,,0.0000,0.0000
actuation_noise,random_push,0,20,0.0500,0.0980,0.1922,0.0282,0.3594,0.0986,,,,,,,,,,,0.0000,0.0000
actuation_noise,random_push,1,20,0.0500,0.0980,0.1560,0.0270,0.5062,0.0920,,,,,,,,,,,0.0000,0.0000
actuation_noise,random_push,2,20,0.0500,0.0980,0.1523,0.0264,0.5153,0.0844,,,,,,,,,,,0.0000,0.0000
actuation_noise,random_push,3,20,0.1000,0.1349,0.1534,0.0240,0.5198,0.0788,,,,,,,,,,,0.0000,0.0000
actuation_noise,random_push,4,20,0.2500,0.1947,0.1371,0.0309,0.5671,0.1002,,,,,,,,,,,0.0000,0.0000
actuation_noise,random_push,5,20,0.2000,0.1799,0.1296,0.0290,0.5838,0.0904,,,,,,,,,,,0.0000,0.0000
actuation_noise,random_push,6,20,0.1000,0.1349,0.1550,0.0256,0.5238,0.0826,,,,,,,,,,,0.0000,0.0000
actuation_noise,random_push,7,20,0.1000,0.1349,0.1532,0.0296,0.5007,0.1106,,,,,,,,,,,0.0000,0.0000
actuation_noise,robust_mean_hybrid_mpc,0,20,0.3000,0.2061,0.0945,0.0237,0.6813,0.0842,,,,,,,,,,,0.0000,0.0000
actuation_noise,robust_mean_hybrid_mpc,1,20,0.5500,0.2237,0.0863,0.0211,0.7207,0.0799,,,,,,,,,,,0.0000,0.0000
actuation_noise,robust_mean_hybrid_mpc,2,20,0.5000,0.2248,0.0876,0.0252,0.7213,0.0821,,,,,,,,,,,0.0000,0.0000
actuation_noise,robust_mean_hybrid_mpc,3,20,0.3500,0.2145,0.1009,0.0194,0.6854,0.0626,,,,,,,,,,,0.0000,0.0000
actuation_noise,robust_mean_hybrid_mpc,4,20,0.4500,0.2237,0.0756,0.0190,0.7607,0.0637,,,,,,,,,,,0.0000,0.0000
actuation_noise,robust_mean_hybrid_mpc,5,20,0.3000,0.2061,0.0978,0.0234,0.6747,0.0859,,,,,,,,,,,0.0000,0.0000
actuation_noise,robust_mean_hybrid_mpc,6,20,0.5000,0.2248,0.0833,0.0223,0.7514,0.0619,,,,,,,,,,,0.0000,0.0000
actuation_noise,robust_mean_hybrid_mpc,7,20,0.4500,0.2237,0.0914,0.0277,0.7097,0.0835,,,,,,,,,,,0.0000,0.0000
