split,method,episodes,posterior_entropy_final_mean,posterior_entropy_final_ci95,posterior_entropy_mean_mean,posterior_entropy_mean_ci95,near_true_branch_mass_final_mean,near_true_branch_mass_final_ci95,near_true_branch_mass_mean_mean,near_true_branch_mass_mean_ci95,branch_prediction_error_mean_mean,branch_prediction_error_mean_ci95,fallback_activations_mean,fallback_activations_ci95
low_friction,robust_worst_case_mpc,160,,,,,,,,,,,0.0000,0.0000
nominal,adaptive_id_mpc,160,0.8563,0.0059,0.8731,0.0072,0.3693,0.0087,0.3662,0.0079,0.0352,0.0007,0.0000,0.0000
nominal,branch_counterfactual_mpc,160,0.8564,0.0060,0.8731,0.0072,0.3693,0.0088,0.3661,0.0079,0.0354,0.0007,0.0000,0.0000
nominal,branch_counterfactual_mpc_v5,160,0.8493,0.0059,0.8582,0.0073,0.3730,0.0105,0.3703,0.0100,0.0387,0.0011,1.9688,0.0365
nominal,domain_randomized_mpc,160,,,,,,,,,,,0.0000,0.0000
nominal,ensemble_mean_mpc,160,,,,,,,,,,,0.0000,0.0000
nominal,nominal_single_branch_mpc,160,,,,,,,,,,,0.0000,0.0000
nominal,oracle_hidden_params,160,,,,,,,,,,,0.0000,0.0000
nominal,random_push,160,,,,,,,,,,,0.0000,0.0000
nominal,robust_mean_hybrid_mpc,160,,,,,,,,,,,0.0000,0.0000
nominal,robust_worst_case_mpc,160,,,,,,,,,,,0.0000,0.0000
observation_noise,adaptive_id_mpc,160,0.8510,0.0061,0.8688,0.0073,0.3622,0.0092,0.3609,0.0083,0.0438,0.0011,0.0000,0.0000
observation_noise,branch_counterfactual_mpc,160,0.8462,0.0077,0.8654,0.0082,0.3699,0.0098,0.3640,0.0092,0.0441,0.0011,0.0000,0.0000
observation_noise,branch_counterfactual_mpc_v5,160,0.8453,0.0059,0.8588,0.0070,0.3658,0.0113,0.3614,0.0108,0.0459,0.0013,1.9750,0.0298
observation_noise,domain_randomized_mpc,160,,,,,,,,,,,0.0000,0.0000
observation_noise,ensemble_mean_mpc,160,,,,,,,,,,,0.0000,0.0000
observation_noise,nominal_single_branch_mpc,160,,,,,,,,,,,0.0000,0.0000
observation_noise,oracle_hidden_params,160,,,,,,,,,,,0.0000,0.0000
observation_noise,random_push,160,,,,,,,,,,,0.0000,0.0000
observation_noise,robust_mean_hybrid_mpc,160,,,,,,,,,,,0.0000,0.0000
observation_noise,robust_worst_case_mpc,160,,,,,,,,,,,0.0000,0.0000
target_shift,adaptive_id_mpc,160,0.8391,0.0071,0.8445,0.0085,0.3771,0.0106,0.3742,0.0103,0.0404,0.0011,0.0000,0.0000
target_shift,branch_counterfactual_mpc,160,0.8387,0.0070,0.8443,0.0084,0.3772,0.0107,0.3744,0.0103,0.0405,0.0011,0.0000,0.0000
target_shift,branch_counterfactual_mpc_v5,160,0.8352,0.0083,0.8389,0.0102,0.3746,0.0108,0.3718,0.0105,0.0414,0.0015,1.8500,0.0761
target_shift,domain_randomized_mpc,160,,,,,,,,,,,0.0000,0.0000
target_shift,ensemble_mean_mpc,160,,,,,,,,,,,0.0000,0.0000
target_shift,nominal_single_branch_mpc,160,,,,,,,,,,,0.0000,0.0000
target_shift,oracle_hidden_params,160,,,,,,,,,,,0.0000,0.0000
target_shift,random_push,160,,,,,,,,,,,0.0000,0.0000
target_shift,robust_mean_hybrid_mpc,160,,,,,,,,,,,0.0000,0.0000
target_shift,robust_worst_case_mpc,160,,,,,,,,,,,0.0000,0.0000
