seed,episode,split,method,true_mass,true_friction,initial_distance,final_distance,success,normalized_progress,ablation
0,0,nominal,random_push,0.1800,0.3500,0.3965,0.1972,0.0000,0.5025,False
0,0,nominal,nominal_single_branch_mpc,0.1800,0.3500,0.3965,0.1212,0.0000,0.6943,False
0,0,nominal,ensemble_mean_mpc,0.1800,0.3500,0.3965,0.1042,0.0000,0.7373,False
0,0,nominal,robust_worst_case_mpc,0.1800,0.3500,0.3965,0.1042,0.0000,0.7373,False
0,0,nominal,branch_counterfactual_mpc,0.1800,0.3500,0.3965,0.1042,0.0000,0.7373,False
0,0,nominal,oracle_hidden_params,0.1800,0.3500,0.3965,0.0475,1.0000,0.8802,False
0,1,nominal,random_push,0.1200,0.3500,0.2735,0.1140,0.0000,0.5831,False
0,1,nominal,nominal_single_branch_mpc,0.1200,0.3500,0.2735,0.0840,0.0000,0.6927,False
0,1,nominal,ensemble_mean_mpc,0.1200,0.3500,0.2735,0.0734,1.0000,0.7315,False
0,1,nominal,robust_worst_case_mpc,0.1200,0.3500,0.2735,0.0734,1.0000,0.7315,False
0,1,nominal,branch_counterfactual_mpc,0.1200,0.3500,0.2735,0.0734,1.0000,0.7315,False
0,1,nominal,oracle_hidden_params,0.1200,0.3500,0.2735,0.0690,1.0000,0.7477,False
0,2,nominal,random_push,0.1200,0.9500,0.3376,0.0584,1.0000,0.8270,False
0,2,nominal,nominal_single_branch_mpc,0.1200,0.9500,0.3376,0.0501,1.0000,0.8517,False
0,2,nominal,ensemble_mean_mpc,0.1200,0.9500,0.3376,0.0749,1.0000,0.7781,False
0,2,nominal,robust_worst_case_mpc,0.1200,0.9500,0.3376,0.0749,1.0000,0.7781,False
0,2,nominal,branch_counterfactual_mpc,0.1200,0.9500,0.3376,0.0749,1.0000,0.7781,False
0,2,nominal,oracle_hidden_params,0.1200,0.9500,0.3376,0.0749,1.0000,0.7781,False
0,3,nominal,random_push,0.1800,0.3500,0.3282,0.2373,0.0000,0.2770,False
0,3,nominal,nominal_single_branch_mpc,0.1800,0.3500,0.3282,0.0915,0.0000,0.7213,False
0,3,nominal,ensemble_mean_mpc,0.1800,0.3500,0.3282,0.0930,0.0000,0.7165,False
0,3,nominal,robust_worst_case_mpc,0.1800,0.3500,0.3282,0.0930,0.0000,0.7165,False
0,3,nominal,branch_counterfactual_mpc,0.1800,0.3500,0.3282,0.0930,0.0000,0.7165,False
0,3,nominal,oracle_hidden_params,0.1800,0.3500,0.3282,0.0371,1.0000,0.8869,False
0,4,nominal,random_push,0.1200,0.9500,0.2822,0.2100,0.0000,0.2558,False
0,4,nominal,nominal_single_branch_mpc,0.1200,0.9500,0.2822,0.0158,1.0000,0.9441,False
0,4,nominal,ensemble_mean_mpc,0.1200,0.9500,0.2822,0.0158,1.0000,0.9441,False
0,4,nominal,robust_worst_case_mpc,0.1200,0.9500,0.2822,0.0260,1.0000,0.9078,False
0,4,nominal,branch_counterfactual_mpc,0.1200,0.9500,0.2822,0.0158,1.0000,0.9441,False
0,4,nominal,oracle_hidden_params,0.1200,0.9500,0.2822,0.0158,1.0000,0.9441,False
0,5,nominal,random_push,0.0800,0.3500,0.3703,0.2077,0.0000,0.4390,False
0,5,nominal,nominal_single_branch_mpc,0.0800,0.3500,0.3703,0.0830,0.0000,0.7758,False
0,5,nominal,ensemble_mean_mpc,0.0800,0.3500,0.3703,0.0820,0.0000,0.7785,False
0,5,nominal,robust_worst_case_mpc,0.0800,0.3500,0.3703,0.0131,1.0000,0.9645,False
0,5,nominal,branch_counterfactual_mpc,0.0800,0.3500,0.3703,0.0820,0.0000,0.7785,False
0,5,nominal,oracle_hidden_params,0.0800,0.3500,0.3703,0.0325,1.0000,0.9123,False
0,6,nominal,random_push,0.0800,0.9500,0.2774,0.0921,0.0000,0.6679,False
0,6,nominal,nominal_single_branch_mpc,0.0800,0.9500,0.2774,0.0318,1.0000,0.8854,False
0,6,nominal,ensemble_mean_mpc,0.0800,0.9500,0.2774,0.0318,1.0000,0.8854,False
0,6,nominal,robust_worst_case_mpc,0.0800,0.9500,0.2774,0.0475,1.0000,0.8288,False
0,6,nominal,branch_counterfactual_mpc,0.0800,0.9500,0.2774,0.0318,1.0000,0.8854,False
0,6,nominal,oracle_hidden_params,0.0800,0.9500,0.2774,0.0971,0.0000,0.6500,False
0,7,nominal,random_push,0.1200,0.6500,0.2653,0.1350,0.0000,0.4912,False
0,7,nominal,nominal_single_branch_mpc,0.1200,0.6500,0.2653,0.0387,1.0000,0.8540,False
0,7,nominal,ensemble_mean_mpc,0.1200,0.6500,0.2653,0.0387,1.0000,0.8540,False
0,7,nominal,robust_worst_case_mpc,0.1200,0.6500,0.2653,0.1008,0.0000,0.6201,False
0,7,nominal,branch_counterfactual_mpc,0.1200,0.6500,0.2653,0.0387,1.0000,0.8540,False
0,7,nominal,oracle_hidden_params,0.1200,0.6500,0.2653,0.0387,1.0000,0.8540,False
0,8,nominal,random_push,0.0800,0.9500,0.3758,0.1341,0.0000,0.6432,False
0,8,nominal,nominal_single_branch_mpc,0.0800,0.9500,0.3758,0.0569,1.0000,0.8486,False
0,8,nominal,ensemble_mean_mpc,0.0800,0.9500,0.3758,0.0569,1.0000,0.8486,False
0,8,nominal,robust_worst_case_mpc,0.0800,0.9500,0.3758,0.0090,1.0000,0.9760,False
0,8,nominal,branch_counterfactual_mpc,0.0800,0.9500,0.3758,0.0569,1.0000,0.8486,False
0,8,nominal,oracle_hidden_params,0.0800,0.9500,0.3758,0.0569,1.0000,0.8486,False
0,9,nominal,random_push,0.1800,0.3500,0.3120,0.1959,0.0000,0.3722,False
0,9,nominal,nominal_single_branch_mpc,0.1800,0.3500,0.3120,0.0755,0.0000,0.7580,False
0,9,nominal,ensemble_mean_mpc,0.1800,0.3500,0.3120,0.0846,0.0000,0.7287,False
0,9,nominal,robust_worst_case_mpc,0.1800,0.3500,0.3120,0.0846,0.0000,0.7287,False
0,9,nominal,branch_counterfactual_mpc,0.1800,0.3500,0.3120,0.0846,0.0000,0.7287,False
0,9,nominal,oracle_hidden_params,0.1800,0.3500,0.3120,0.0498,1.0000,0.8404,False
