split,method,paired_episodes,distance_regret_mean,distance_regret_ci95,success_regret_mean,success_regret_ci95
actuation_noise,adaptive_id_mpc,160,0.0033,0.0102,0.0125,0.1085
actuation_noise,branch_counterfactual_mpc,160,-0.0046,0.0095,-0.1000,0.1074
actuation_noise,branch_counterfactual_mpc_v5,160,0.0043,0.0103,0.0000,0.1028
actuation_noise,domain_randomized_mpc,160,0.0059,0.0098,0.0125,0.1013
actuation_noise,ensemble_mean_mpc,160,0.0016,0.0095,-0.0125,0.1113
actuation_noise,nominal_single_branch_mpc,160,0.0055,0.0097,0.0688,0.1015
actuation_noise,random_push,160,0.0704,0.0128,0.3312,0.0963
actuation_noise,robust_mean_hybrid_mpc,160,0.0065,0.0103,0.0187,0.1020
actuation_noise,robust_worst_case_mpc,160,0.0108,0.0125,-0.0563,0.1116
adversarial_low_friction_heavy,adaptive_id_mpc,160,0.0031,0.0055,-0.0125,0.0300
adversarial_low_friction_heavy,branch_counterfactual_mpc,160,-0.0031,0.0049,0.0125,0.0173
adversarial_low_friction_heavy,branch_counterfactual_mpc_v5,160,0.0031,0.0052,0.0063,0.0213
adversarial_low_friction_heavy,domain_randomized_mpc,160,-0.0012,0.0052,0.0063,0.0122
adversarial_low_friction_heavy,ensemble_mean_mpc,160,0.0005,0.0049,0.0063,0.0213
adversarial_low_friction_heavy,nominal_single_branch_mpc,160,0.0033,0.0056,0.0000,0.0174
adversarial_low_friction_heavy,random_push,160,0.0911,0.0174,0.0125,0.0173
adversarial_low_friction_heavy,robust_mean_hybrid_mpc,160,0.0016,0.0049,0.0000,0.0246
adversarial_low_friction_heavy,robust_worst_case_mpc,160,-0.0020,0.0055,-0.0312,0.0365
combined_shift,adaptive_id_mpc,160,-0.0051,0.0083,-0.0500,0.0933
combined_shift,branch_counterfactual_mpc,160,0.0031,0.0088,-0.0063,0.0895
combined_shift,branch_counterfactual_mpc_v5,160,0.0025,0.0086,0.0125,0.0903
combined_shift,domain_randomized_mpc,160,-0.0029,0.0082,-0.0250,0.0814
combined_shift,ensemble_mean_mpc,160,-0.0040,0.0085,-0.0312,0.0876
combined_shift,nominal_single_branch_mpc,160,0.0136,0.0090,0.1000,0.0855
combined_shift,random_push,160,0.0690,0.0135,0.2250,0.0776
combined_shift,robust_mean_hybrid_mpc,160,-0.0082,0.0083,-0.0625,0.0863
combined_shift,robust_worst_case_mpc,160,0.0014,0.0087,0.0000,0.0815
contact_offset,adaptive_id_mpc,160,0.0161,0.0133,0.1125,0.0886
contact_offset,branch_counterfactual_mpc,160,0.0090,0.0141,0.0813,0.0951
contact_offset,branch_counterfactual_mpc_v5,160,0.0070,0.0140,0.0750,0.0945
contact_offset,domain_randomized_mpc,160,-0.0013,0.0139,0.0375,0.0997
contact_offset,ensemble_mean_mpc,160,0.0116,0.0141,0.0938,0.0949
contact_offset,nominal_single_branch_mpc,160,0.0040,0.0151,0.0437,0.1033
contact_offset,random_push,160,0.0053,0.0141,0.0750,0.0976
contact_offset,robust_mean_hybrid_mpc,160,0.0072,0.0141,0.0375,0.1070
contact_offset,robust_worst_case_mpc,160,0.0060,0.0138,0.0688,0.1015
heavy_object,adaptive_id_mpc,160,0.0179,0.0048,0.3063,0.0815
heavy_object,branch_counterfactual_mpc,160,0.0161,0.0049,0.2750,0.0833
heavy_object,branch_counterfactual_mpc_v5,160,0.0152,0.0050,0.2500,0.0833
heavy_object,domain_randomized_mpc,160,0.0153,0.0049,0.2750,0.0833
heavy_object,ensemble_mean_mpc,160,0.0161,0.0049,0.2687,0.0846
heavy_object,nominal_single_branch_mpc,160,0.0209,0.0056,0.3000,0.0773
heavy_object,random_push,160,0.0961,0.0103,0.6625,0.0775
heavy_object,robust_mean_hybrid_mpc,160,0.0168,0.0051,0.2625,0.0842
heavy_object,robust_worst_case_mpc,160,0.0145,0.0068,0.2125,0.0942
high_friction,adaptive_id_mpc,160,-0.0016,0.0031,-0.0187,0.0442
high_friction,branch_counterfactual_mpc,160,-0.0010,0.0030,-0.0250,0.0424
high_friction,branch_counterfactual_mpc_v5,160,0.0088,0.0049,0.1000,0.0678
high_friction,domain_randomized_mpc,160,0.0014,0.0037,0.0125,0.0521
high_friction,ensemble_mean_mpc,160,-0.0011,0.0030,-0.0250,0.0424
high_friction,nominal_single_branch_mpc,160,0.0179,0.0059,0.1938,0.0747
high_friction,random_push,160,0.0933,0.0098,0.7250,0.0795
high_friction,robust_mean_hybrid_mpc,160,-0.0046,0.0033,-0.0437,0.0438
high_friction,robust_worst_case_mpc,160,-0.0098,0.0039,-0.0750,0.0508
light_object,adaptive_id_mpc,160,0.0182,0.0047,0.2625,0.0706
light_object,branch_counterfactual_mpc,160,0.0183,0.0045,0.2625,0.0706
light_object,branch_counterfactual_mpc_v5,160,0.0205,0.0052,0.2750,0.0736
light_object,domain_randomized_mpc,160,0.0214,0.0047,0.2812,0.0720
light_object,ensemble_mean_mpc,160,0.0184,0.0045,0.2625,0.0706
light_object,nominal_single_branch_mpc,160,0.0186,0.0046,0.2500,0.0758
light_object,random_push,160,0.0908,0.0103,0.7250,0.0757
light_object,robust_mean_hybrid_mpc,160,0.0199,0.0050,0.2750,0.0715
light_object,robust_worst_case_mpc,160,0.0176,0.0073,0.2250,0.0795
low_friction,adaptive_id_mpc,160,0.0293,0.0049,0.5188,0.0796
low_friction,branch_counterfactual_mpc,160,0.0297,0.0049,0.5188,0.0796
low_friction,branch_counterfactual_mpc_v5,160,0.0235,0.0047,0.3750,0.0772
low_friction,domain_randomized_mpc,160,0.0279,0.0047,0.4875,0.0796
low_friction,ensemble_mean_mpc,160,0.0296,0.0049,0.5188,0.0796
low_friction,nominal_single_branch_mpc,160,0.0379,0.0052,0.5000,0.0777
low_friction,random_push,160,0.1051,0.0115,0.4688,0.0814
low_friction,robust_mean_hybrid_mpc,160,0.0307,0.0050,0.5188,0.0796
low_friction,robust_worst_case_mpc,160,0.0227,0.0080,0.3125,0.0971
nominal,adaptive_id_mpc,160,0.0183,0.0051,0.2812,0.0800
nominal,branch_counterfactual_mpc,160,0.0179,0.0049,0.2625,0.0767
nominal,branch_counterfactual_mpc_v5,160,0.0207,0.0051,0.3000,0.0773
nominal,domain_randomized_mpc,160,0.0183,0.0049,0.2625,0.0767
nominal,ensemble_mean_mpc,160,0.0175,0.0049,0.2625,0.0767
nominal,nominal_single_branch_mpc,160,0.0180,0.0047,0.2375,0.0727
nominal,random_push,160,0.1007,0.0111,0.6875,0.0781
nominal,robust_mean_hybrid_mpc,160,0.0204,0.0058,0.2812,0.0818
nominal,robust_worst_case_mpc,160,0.0120,0.0074,0.1562,0.0861
observation_noise,adaptive_id_mpc,160,0.0202,0.0064,0.3125,0.1001
observation_noise,branch_counterfactual_mpc,160,0.0162,0.0063,0.2125,0.0942
observation_noise,branch_counterfactual_mpc_v5,160,0.0156,0.0069,0.2313,0.1031
observation_noise,domain_randomized_mpc,160,0.0151,0.0064,0.2375,0.1021
observation_noise,ensemble_mean_mpc,160,0.0200,0.0065,0.2375,0.1050
observation_noise,nominal_single_branch_mpc,160,0.0194,0.0069,0.2562,0.1046
observation_noise,random_push,160,0.0860,0.0110,0.6188,0.0849
observation_noise,robust_mean_hybrid_mpc,160,0.0173,0.0068,0.2313,0.0986
observation_noise,robust_worst_case_mpc,160,0.0175,0.0083,0.2188,0.1008
target_shift,adaptive_id_mpc,160,0.0138,0.0053,0.1688,0.0855
target_shift,branch_counterfactual_mpc,160,0.0124,0.0050,0.1562,0.0861
target_shift,branch_counterfactual_mpc_v5,160,0.0138,0.0053,0.1562,0.0843
target_shift,domain_randomized_mpc,160,0.0121,0.0052,0.1375,0.0860
target_shift,ensemble_mean_mpc,160,0.0120,0.0050,0.1437,0.0849
target_shift,nominal_single_branch_mpc,160,0.0175,0.0057,0.1938,0.0824
target_shift,random_push,160,0.0706,0.0110,0.4813,0.0967
target_shift,robust_mean_hybrid_mpc,160,0.0154,0.0057,0.1375,0.0877
target_shift,robust_worst_case_mpc,160,0.0046,0.0074,0.0563,0.0940
