split,method,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,normalized_progress_mean,normalized_progress_ci95
combined_shift,branch_counterfactual_mpc,80,0.3125,0.1022,0.1006,0.0108,0.7388,0.0285
combined_shift,nominal_single_branch_mpc,80,0.2375,0.0938,0.1148,0.0118,0.6985,0.0317
combined_shift,oracle_hidden_params,80,0.3000,0.1011,0.1044,0.0113,0.7279,0.0296
combined_shift,robust_worst_case_mpc,80,0.3250,0.1033,0.1036,0.0122,0.7263,0.0338
heavy_object,branch_counterfactual_mpc,80,0.5875,0.1086,0.0674,0.0066,0.7866,0.0212
heavy_object,nominal_single_branch_mpc,80,0.5625,0.1094,0.0671,0.0082,0.7859,0.0268
heavy_object,oracle_hidden_params,80,0.8125,0.0861,0.0483,0.0055,0.8461,0.0179
heavy_object,robust_worst_case_mpc,80,0.5125,0.1102,0.0740,0.0060,0.7625,0.0198
high_friction,branch_counterfactual_mpc,80,0.8500,0.0787,0.0500,0.0067,0.8426,0.0203
high_friction,nominal_single_branch_mpc,80,0.6125,0.1074,0.0704,0.0099,0.7828,0.0283
high_friction,oracle_hidden_params,80,0.8750,0.0729,0.0454,0.0053,0.8570,0.0164
high_friction,robust_worst_case_mpc,80,0.8875,0.0697,0.0453,0.0054,0.8550,0.0180
low_friction,branch_counterfactual_mpc,80,0.1125,0.0697,0.1000,0.0059,0.6815,0.0219
low_friction,nominal_single_branch_mpc,80,0.1000,0.0662,0.1146,0.0071,0.6361,0.0257
low_friction,oracle_hidden_params,80,0.5375,0.1099,0.0704,0.0082,0.7801,0.0254
low_friction,robust_worst_case_mpc,80,0.1500,0.0787,0.0966,0.0064,0.6927,0.0224
nominal,branch_counterfactual_mpc,80,0.6875,0.1022,0.0617,0.0067,0.8088,0.0200
nominal,nominal_single_branch_mpc,80,0.5875,0.1086,0.0666,0.0086,0.7956,0.0243
nominal,oracle_hidden_params,80,0.8500,0.0787,0.0473,0.0059,0.8481,0.0209
nominal,robust_worst_case_mpc,80,0.5875,0.1086,0.0692,0.0072,0.7805,0.0227
